;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
999;4.707;-74.063;Bogotá D.C;Zona Noroccidental;Suba;El Batán;4.0;3.0;250.0;250.0;790000000.0;COP;Casa;Venta
1000;4.69;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;3.0;4.0;97.0;97.0;375000000.0;COP;Apartamento;Venta
1001;4.685;-74.056;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;4.0;4.0;135.0;135.0;620000000.0;COP;Apartamento;Venta
1002;4.694;-74.036;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;4.0;4.0;166.0;166.0;900000000.0;COP;Apartamento;Venta
1003;4.726;-74.031;Bogotá D.C;Zona Norte;Usaquén;Cedritos;5.0;4.0;160.0;250.0;1000000000.0;COP;Casa;Venta
1004;4.699;-74.038;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;5.0;4.0;192.0;227.0;1200000000.0;COP;Casa;Venta
1005;4.732;-74.036;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;5.0;194.0;173.0;845000000.0;COP;Apartamento;Venta
1006;4.731;-74.038;Bogotá D.C;Zona Norte;Usaquén;Cedritos;4.0;5.0;197.0;197.0;1050000000.0;COP;Apartamento;Venta
1007;4.68;-74.098;Bogotá D.C;Zona Occidental;Engativa;Estrada;9.0;6.0;174.0;174.0;700000000.0;COP;Casa;Venta
1008;4.6739999999999995;-74.053;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;1.0;1.0;50.0;50.0;355000000.0;COP;Apartamento;Venta
1009;4.638999999999999;-74.061;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;1.0;1.0;43.0;43.0;267000000.0;COP;Apartamento;Venta
1010;4.692;-74.043;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;1.0;1.0;34.0;34.0;280000000.0;COP;Apartamento;Venta
1011;4.683;-74.05;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;2.0;1.0;53.0;53.0;310000000.0;COP;Apartamento;Venta
1012;4.69;-74.061;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;1.0;1.0;43.0;43.0;330000000.0;COP;Apartamento;Venta
1013;4.729;-74.027;Bogotá D.C;Zona Norte;Usaquén;Barrancas;2.0;2.0;61.0;61.0;238000000.0;COP;Apartamento;Venta
1014;4.638;-74.152;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;2.0;2.0;51.0;51.0;215000000.0;COP;Apartamento;Venta
1015;4.727;-74.07600000000001;Bogotá D.C;Zona Noroccidental;Suba;Gratamira;3.0;3.0;160.0;15.0;900000000.0;COP;Apartamento;Venta
1016;4.636;-74.075;Bogotá D.C;Zona Chapinero;Teusaquillo;Palermo;6.0;4.0;360.0;360.0;850000000.0;COP;Casa;Venta
1017;4.658;-74.128;Bogotá D.C;Zona Occidental;Fontibón;La Felicidad;4.0;5.0;146.0;146.0;670000000.0;COP;Apartamento;Venta
1018;4.723;-74.04;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;104.0;104.0;680000000.0;COP;Apartamento;Venta
1019;4.703;-74.047;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;74.0;74.0;510000000.0;COP;Apartamento;Venta
1020;4.705;-74.029;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;3.0;148.0;148.0;720000000.0;COP;Apartamento;Venta
1021;4.669;-74.041;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;3.0;251.0;251.0;1300000000.0;COP;Apartamento;Venta
1022;4.668;-74.041;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;5.0;5.0;403.0;403.0;3600000000.0;COP;Apartamento;Venta
1023;4.665;-74.046;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;5.0;475.0;475.0;1400000000.0;COP;Apartamento;Venta
1024;4.675;-74.054;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;5.0;236.0;236.0;1290000000.0;COP;Apartamento;Venta
1025;4.677;-74.10600000000001;Bogotá D.C;Zona Occidental;Engativa;Normandia;3.0;2.0;67.0;67.0;315000000.0;COP;Apartamento;Venta
1026;4.705;-74.056;Bogotá D.C;Zona Noroccidental;Suba;El Batán;2.0;2.0;59.0;59.0;330000000.0;COP;Apartamento;Venta
1027;4.7330000000000005;-74.07600000000001;Bogotá D.C;Zona Noroccidental;Suba;Cerros De Suba;4.0;4.0;246.0;246.0;1150000000.0;COP;Casa;Venta
1028;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;4.0;220.0;220.0;1300000000.0;COP;Apartamento;Venta
1029;4.662;-74.12100000000001;Bogotá D.C;Zona Occidental;Fontibón;Capellania;3.0;1.0;245.0;245.0;580000000.0;COP;Casa;Venta
1030;4.587;-74.158;Bogotá D.C;Zona Sur;Ciudad Bolívar;Madelena;3.0;1.0;47.0;47.0;160000000.0;COP;Apartamento;Venta
1031;4.609;-74.072;Bogotá D.C;Zona Centro;Santa Fe;Las Nieves;3.0;1.0;117.0;117.0;200000000.0;COP;Apartamento;Venta
1032;4.617;-74.068;Bogotá D.C;Zona Centro;Santa Fe;Centro Internacional;1.0;2.0;47.0;47.0;485000000.0;COP;Apartamento;Venta
1033;4.596;-74.153;Bogotá D.C;Zona Sur;Ciudad Bolívar;Madelena;2.0;2.0;52.0;52.0;150000000.0;COP;Apartamento;Venta
1034;4.7139999999999995;-74.128;Bogotá D.C;Zona Occidental;Engativa;Villas De Granada;2.0;2.0;56.0;56.0;155000000.0;COP;Apartamento;Venta
1035;4.638999999999999;-74.143;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;2.0;59.0;59.0;260000000.0;COP;Apartamento;Venta
1036;4.718999999999999;-74.039;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;105.0;105.0;398000000.0;COP;Apartamento;Venta
1037;4.641;-74.064;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;4.0;3.0;100.0;200.0;850000000.0;COP;Casa;Venta
1038;4.648;-74.173;Bogotá D.C;Zona Suroccidental;Kennedy;Patio Bonito;8.0;3.0;72.0;216.0;270000000.0;COP;Casa;Venta
1039;4.663;-74.123;Bogotá D.C;Zona Occidental;Fontibón;Modelia;4.0;4.0;386.0;386.0;895000000.0;COP;Casa;Venta
1040;4.728;-74.046;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;74.0;74.0;420000000.0;COP;Apartamento;Venta
1041;4.746;-74.025;Bogotá D.C;Zona Norte;Usaquén;Santa Teresa;3.0;2.0;87.0;87.0;370000000.0;COP;Apartamento;Venta
1042;4.628;-74.07600000000001;Bogotá D.C;Zona Chapinero;Teusaquillo;La Soledad ;4.0;4.0;220.0;286.0;1350000000.0;COP;Casa;Venta
1043;4.6930000000000005;-74.062;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;3.0;6.0;243.0;288.0;1296000000.0;COP;Casa;Venta
1044;4.702;-74.079;Bogotá D.C;Zona Noroccidental;Suba;Pontevedra ;4.0;4.0;281.0;281.0;730000000.0;COP;Casa;Venta
1045;4.641;-74.135;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;3.0;184.0;136.0;550000000.0;COP;Casa;Venta
1046;4.707;-74.03;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;3.0;120.0;120.0;1060000000.0;COP;Apartamento;Venta
1047;4.723;-74.024;Bogotá D.C;Zona Norte;Usaquén;Bosque De Pinos;4.0;5.0;251.0;251.0;1950000000.0;COP;Casa;Venta
1048;4.638;-74.066;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;3.0;1.0;40.0;40.0;190000000.0;COP;Apartamento;Venta
1049;4.678999999999999;-74.05;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;2.0;2.0;105.0;105.0;595000000.0;COP;Apartamento;Venta
1050;4.686;-74.044;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;3.0;92.0;92.0;600000000.0;COP;Apartamento;Venta
1051;4.678;-74.09;Bogotá D.C;Zona Occidental;Engativa;Bellavista Occidental;3.0;2.0;94.0;120.0;430000000.0;COP;Casa;Venta
1052;4.697;-74.083;Bogotá D.C;Zona Noroccidental;Suba;Pontevedra ;3.0;2.0;89.0;89.0;360000000.0;COP;Apartamento;Venta
